"ลำดับ","รหัส อปท","ชื่อ อปท","อำเภอ","จังหวัด"
"4268","5490703","เทศบาลตำบล ภูวง","หนองสูง","มุกดาหาร"
"4269","6490704","องค์การบริหารส่วนตำบล โนนยาง","หนองสูง","มุกดาหาร"
"4270","6490705","องค์การบริหารส่วนตำบล หนองสูงใต้","หนองสูง","มุกดาหาร"
"4271","2500101","องค์การบริหารส่วนจังหวัด เชียงใหม่","เมืองเชียงใหม่","เชียงใหม่"
"4272","3500102","เทศบาลนคร เชียงใหม่","เมืองเชียงใหม่","เชียงใหม่"
"4273","4500103","เทศบาลเมือง แม่เหียะ","เมืองเชียงใหม่","เชียงใหม่"
"4274","5500104","เทศบาลตำบล หนองป่าครั่ง","เมืองเชียงใหม่","เชียงใหม่"
"4275","5500105","เทศบาลตำบล ช้างเผือก","เมืองเชียงใหม่","เชียงใหม่"
"4276","5500106","เทศบาลตำบล ป่าแดด","เมืองเชียงใหม่","เชียงใหม่"
"4277","5500107","เทศบาลตำบล สุเทพ","เมืองเชียงใหม่","เชียงใหม่"
"4278","5500108","เทศบาลตำบล หนองหอย","เมืองเชียงใหม่","เชียงใหม่"
"4279","5500109","เทศบาลตำบล ท่าศาลา","เมืองเชียงใหม่","เชียงใหม่"
"4280","5500110","เทศบาลตำบล ฟ้าฮ่าม","เมืองเชียงใหม่","เชียงใหม่"
"4281","5500111","เทศบาลตำบล สันผีเสื้อ","เมืองเชียงใหม่","เชียงใหม่"
"4282","6500112","องค์การบริหารส่วนตำบล ช้างเผือก","เมืองเชียงใหม่","เชียงใหม่"
"4283","5500201","เทศบาลตำบล จอมทอง","จอมทอง","เชียงใหม่"
"4284","5500202","เทศบาลตำบล ดอยแก้ว","จอมทอง","เชียงใหม่"
"4285","5500203","เทศบาลตำบล บ้านแปะ","จอมทอง","เชียงใหม่"
"4286","5500204","เทศบาลตำบล บ้านหลวง","จอมทอง","เชียงใหม่"
"4287","5500205","เทศบาลตำบล สบเตี๊ยะ","จอมทอง","เชียงใหม่"
"4288","5500207","เทศบาลตำบล แม่สอย","จอมทอง","เชียงใหม่"
"4289","6500206","องค์การบริหารส่วนตำบล ข่วงเปา","จอมทอง","เชียงใหม่"
"4290","5500301","เทศบาลตำบล แม่แจ่ม","แม่แจ่ม","เชียงใหม่"
"4291","5500302","เทศบาลตำบล ท่าผา","แม่แจ่ม","เชียงใหม่"
"4292","6500303","องค์การบริหารส่วนตำบล ช่างเคิ่ง","แม่แจ่ม","เชียงใหม่"
"4293","6500304","องค์การบริหารส่วนตำบล บ้านทับ","แม่แจ่ม","เชียงใหม่"
"4294","6500305","องค์การบริหารส่วนตำบล กองแขก","แม่แจ่ม","เชียงใหม่"
"4295","6500306","องค์การบริหารส่วนตำบล ปางหินฝน","แม่แจ่ม","เชียงใหม่"
"4296","6500307","องค์การบริหารส่วนตำบล แม่นาจร","แม่แจ่ม","เชียงใหม่"
"4297","6500308","องค์การบริหารส่วนตำบล แม่ศึก","แม่แจ่ม","เชียงใหม่"
"4298","5500401","เทศบาลตำบล เชียงดาว","เชียงดาว","เชียงใหม่"
"4299","5500402","เทศบาลตำบล เมืองงาย","เชียงดาว","เชียงใหม่"
"4300","5500403","เทศบาลตำบล เมืองนะ","เชียงดาว","เชียงใหม่"
"4301","5500404","เทศบาลตำบล ทุ่งข้าวพวง","เชียงดาว","เชียงใหม่"
"4302","5500405","เทศบาลตำบล ปิงโค้ง","เชียงดาว","เชียงใหม่"
"4303","5500406","เทศบาลตำบล พระธาตุปู่ก่ำ","เชียงดาว","เชียงใหม่"
"4304","5500408","เทศบาลตำบล แม่นะ","เชียงดาว","เชียงใหม่"
"4305","6500407","องค์การบริหารส่วนตำบล เชียงดาว","เชียงดาว","เชียงใหม่"
"4306","6500409","องค์การบริหารส่วนตำบล เมืองคอง","เชียงดาว","เชียงใหม่"
"4307","5500501","เทศบาลตำบล ดอยสะเก็ด","ดอยสะเก็ด","เชียงใหม่"
"4308","5500502","เทศบาลตำบล เชิงดอย","ดอยสะเก็ด","เชียงใหม่"
"4309","5500503","เทศบาลตำบล ลวงเหนือ","ดอยสะเก็ด","เชียงใหม่"
"4310","5500504","เทศบาลตำบล สันปูเลย","ดอยสะเก็ด","เชียงใหม่"
"4311","5500505","เทศบาลตำบล แม่โป่ง","ดอยสะเก็ด","เชียงใหม่"
"4312","5500506","เทศบาลตำบล สง่าบ้าน","ดอยสะเก็ด","เชียงใหม่"
"4313","5500507","เทศบาลตำบล ป่าเมี่ยง","ดอยสะเก็ด","เชียงใหม่"
"4314","5500508","เทศบาลตำบล แม่คือ","ดอยสะเก็ด","เชียงใหม่"
"4315","5500509","เทศบาลตำบล แม่ฮ้อยเงิน","ดอยสะเก็ด","เชียงใหม่"
"4316","5500510","เทศบาลตำบล ตลาดใหญ่","ดอยสะเก็ด","เชียงใหม่"
"4317","5500511","เทศบาลตำบล ป่าป้อง","ดอยสะเก็ด","เชียงใหม่"
"4318","5500512","เทศบาลตำบล สำราญราษฎร์","ดอยสะเก็ด","เชียงใหม่"
"4319","5500513","เทศบาลตำบล ตลาดขวัญ","ดอยสะเก็ด","เชียงใหม่"
"4320","6500514","องค์การบริหารส่วนตำบล เทพเสด็จ","ดอยสะเก็ด","เชียงใหม่"
"4321","4500601","เทศบาลเมือง เมืองแกนพัฒนา","แม่แตง","เชียงใหม่"
"4322","5500602","เทศบาลตำบล สันมหาพน","แม่แตง","เชียงใหม่"
"4323","5500603","เทศบาลตำบล อินทขิล","แม่แตง","เชียงใหม่"
"4324","5500604","เทศบาลตำบล แม่แตง","แม่แตง","เชียงใหม่"
"4325","5500606","เทศบาลตำบล จอมแจ้ง","แม่แตง","เชียงใหม่"
"4326","5500611","เทศบาลตำบล แม่หอพระ","แม่แตง","เชียงใหม่"
"4327","6500605","องค์การบริหารส่วนตำบล กื๊ดช้าง","แม่แตง","เชียงใหม่"
"4328","6500607","องค์การบริหารส่วนตำบล บ้านช้าง","แม่แตง","เชียงใหม่"
"4329","6500608","องค์การบริหารส่วนตำบล บ้านเป้า","แม่แตง","เชียงใหม่"
"4330","6500609","องค์การบริหารส่วนตำบล ป่าแป๋","แม่แตง","เชียงใหม่"
"4331","6500610","องค์การบริหารส่วนตำบล เมืองก๋าย","แม่แตง","เชียงใหม่"
"4332","6500612","องค์การบริหารส่วนตำบล สบเปิง","แม่แตง","เชียงใหม่"
"4333","6500613","องค์การบริหารส่วนตำบล สันป่ายาง","แม่แตง","เชียงใหม่"
"4334","5500701","เทศบาลตำบล แม่ริม","แม่ริม","เชียงใหม่"
"4335","5500702","เทศบาลตำบล ขี้เหล็ก","แม่ริม","เชียงใหม่"
"4336","5500703","เทศบาลตำบล ริมเหนือ","แม่ริม","เชียงใหม่"
"4337","5500704","เทศบาลตำบล สันโป่ง","แม่ริม","เชียงใหม่"
"4338","5500707","เทศบาลตำบล แม่แรม","แม่ริม","เชียงใหม่"
"4339","5500709","เทศบาลตำบล เหมืองแก้ว","แม่ริม","เชียงใหม่"
"4340","6500705","องค์การบริหารส่วนตำบล ดอนแก้ว","แม่ริม","เชียงใหม่"
"4341","6500706","องค์การบริหารส่วนตำบล โป่งแยง","แม่ริม","เชียงใหม่"
"4342","6500708","องค์การบริหารส่วนตำบล แม่สา","แม่ริม","เชียงใหม่"
"4343","6500710","องค์การบริหารส่วนตำบล สะลวง","แม่ริม","เชียงใหม่"
"4344","6500711","องค์การบริหารส่วนตำบล ห้วยทราย","แม่ริม","เชียงใหม่"
"4345","5500801","เทศบาลตำบล สะเมิงใต้","สะเมิง","เชียงใหม่"
"4346","6500802","องค์การบริหารส่วนตำบล บ่อแก้ว","สะเมิง","เชียงใหม่"
"4347","6500803","องค์การบริหารส่วนตำบล แม่สาบ","สะเมิง","เชียงใหม่"
"4348","6500804","องค์การบริหารส่วนตำบล ยั้งเมิน","สะเมิง","เชียงใหม่"
"4349","6500805","องค์การบริหารส่วนตำบล สะเมิงเหนือ","สะเมิง","เชียงใหม่"
"4350","5500901","เทศบาลตำบล บ้านแม่ข่า","ฝาง","เชียงใหม่"
"4351","5500902","เทศบาลตำบล เวียงฝาง","ฝาง","เชียงใหม่"
"4352","5500903","เทศบาลตำบล สันทราย","ฝาง","เชียงใหม่"
"4353","5500905","เทศบาลตำบล แม่ข่า","ฝาง","เชียงใหม่"
"4354","6500904","องค์การบริหารส่วนตำบล ม่อนปิ่น","ฝาง","เชียงใหม่"
"4355","6500906","องค์การบริหารส่วนตำบล แม่งอน","ฝาง","เชียงใหม่"
"4356","6500907","องค์การบริหารส่วนตำบล เวียง","ฝาง","เชียงใหม่"
"4357","6500908","องค์การบริหารส่วนตำบล โป่งน้ำร้อน","ฝาง","เชียงใหม่"
"4358","6500909","องค์การบริหารส่วนตำบล แม่คะ","ฝาง","เชียงใหม่"
"4359","6500910","องค์การบริหารส่วนตำบล แม่สูน","ฝาง","เชียงใหม่"
"4360","5501001","เทศบาลตำบล แม่อาย","แม่อาย","เชียงใหม่"
"4361","6501002","องค์การบริหารส่วนตำบล ท่าตอน","แม่อาย","เชียงใหม่"
"4362","6501003","องค์การบริหารส่วนตำบล แม่นาวาง","แม่อาย","เชียงใหม่"
"4363","6501004","องค์การบริหารส่วนตำบล แม่สาว","แม่อาย","เชียงใหม่"
"4364","6501005","องค์การบริหารส่วนตำบล บ้านหลวง","แม่อาย","เชียงใหม่"
"4365","6501006","องค์การบริหารส่วนตำบล ดอยลาง","แม่อาย","เชียงใหม่"
"4366","6501007","องค์การบริหารส่วนตำบล สันต้นหมื้อ","แม่อาย","เชียงใหม่"
"4367","5501101","เทศบาลตำบล เวียงพร้าว","พร้าว","เชียงใหม่"
"4368","5501102","เทศบาลตำบล แม่ปั๋ง","พร้าว","เชียงใหม่"
"4369","5501103","เทศบาลตำบล น้ำแพร่","พร้าว","เชียงใหม่"
"4370","5501104","เทศบาลตำบล บ้านโป่ง","พร้าว","เชียงใหม่"
"4371","5501105","เทศบาลตำบล ป่าไหน่","พร้าว","เชียงใหม่"
"4372","5501106","เทศบาลตำบล ป่าตุ้ม","พร้าว","เชียงใหม่"
"4373","6501107","องค์การบริหารส่วนตำบล โหล่งขอด","พร้าว","เชียงใหม่"
"4374","6501108","องค์การบริหารส่วนตำบล เขื่อนผาก","พร้าว","เชียงใหม่"
"4375","6501109","องค์การบริหารส่วนตำบล แม่แวน","พร้าว","เชียงใหม่"
"4376","6501110","องค์การบริหารส่วนตำบล สันทราย","พร้าว","เชียงใหม่"
"4377","5501201","เทศบาลตำบล บ้านกลาง","สันป่าตอง","เชียงใหม่"
"4378","5501202","เทศบาลตำบล สันป่าตอง","สันป่าตอง","เชียงใหม่"
"4379","5501203","เทศบาลตำบล ทุ่งต้อม","สันป่าตอง","เชียงใหม่"
"4380","5501207","เทศบาลตำบล ยุหว่า","สันป่าตอง","เชียงใหม่"
"4381","5501209","เทศบาลตำบล ทุ่งสะโตก","สันป่าตอง","เชียงใหม่"
"4382","5501211","เทศบาลตำบล บ้านแม","สันป่าตอง","เชียงใหม่"
"4383","6501204","องค์การบริหารส่วนตำบล สันกลาง","สันป่าตอง","เชียงใหม่"
"4384","6501205","องค์การบริหารส่วนตำบล บ้านกลาง","สันป่าตอง","เชียงใหม่"
"4385","6501206","องค์การบริหารส่วนตำบล มะขามหลวง","สันป่าตอง","เชียงใหม่"
"4386","6501208","องค์การบริหารส่วนตำบล ท่าวังพร้าว","สันป่าตอง","เชียงใหม่"
"4387","6501210","องค์การบริหารส่วนตำบล น้ำบ่อหลวง","สันป่าตอง","เชียงใหม่"
"4388","6501212","องค์การบริหารส่วนตำบล มะขุนหวาน","สันป่าตอง","เชียงใหม่"
"4389","6501213","องค์การบริหารส่วนตำบล แม่ก๊า","สันป่าตอง","เชียงใหม่"
"4390","4501301","เทศบาลเมือง ต้นเปา","สันกำแพง","เชียงใหม่"
"4391","5501302","เทศบาลตำบล สันกำแพง","สันกำแพง","เชียงใหม่"
"4392","5501303","เทศบาลตำบล แม่ปูคา","สันกำแพง","เชียงใหม่"
"4393","5501304","เทศบาลตำบล บวกค้าง","สันกำแพง","เชียงใหม่"
"4394","5501305","เทศบาลตำบล ออนใต้","สันกำแพง","เชียงใหม่"
"4395","5501307","เทศบาลตำบล สันกลาง","สันกำแพง","เชียงใหม่"
"4396","5501310","เทศบาลตำบล ห้วยทราย","สันกำแพง","เชียงใหม่"
"4397","6501306","องค์การบริหารส่วนตำบล แช่ช้าง","สันกำแพง","เชียงใหม่"
"4398","6501308","องค์การบริหารส่วนตำบล ร้องวัวแดง","สันกำแพง","เชียงใหม่"
"4399","6501309","องค์การบริหารส่วนตำบล สันกำแพง","สันกำแพง","เชียงใหม่"
"4400","4501401","เทศบาลเมือง แม่โจ้","สันทราย","เชียงใหม่"
"4401","5501402","เทศบาลตำบล สันทรายหลวง","สันทราย","เชียงใหม่"
"4402","5501403","เทศบาลตำบล ป่าไผ่","สันทราย","เชียงใหม่"
"4403","5501404","เทศบาลตำบล สันนาเม็ง","สันทราย","เชียงใหม่"
"4404","5501405","เทศบาลตำบล สันพระเนตร","สันทราย","เชียงใหม่"
"4405","5501406","เทศบาลตำบล เจดีย์แม่ครัว","สันทราย","เชียงใหม่"
"4406","5501407","เทศบาลตำบล หนองจ๊อม","สันทราย","เชียงใหม่"
"4407","5501408","เทศบาลตำบล แม่แฝก","สันทราย","เชียงใหม่"
"4408","5501409","เทศบาลตำบล เมืองเล็น","สันทราย","เชียงใหม่"
"4409","5501410","เทศบาลตำบล สันป่าเปา","สันทราย","เชียงใหม่"
"4410","5501411","เทศบาลตำบล หนองแหย่ง","สันทราย","เชียงใหม่"
"4411","5501412","เทศบาลตำบล หนองหาร","สันทราย","เชียงใหม่"
"4412","5501501","เทศบาลตำบล หนองตองพัฒนา","หางดง","เชียงใหม่"
"4413","5501502","เทศบาลตำบล หางดง","หางดง","เชียงใหม่"
"4414","5501503","เทศบาลตำบล บ้านแหวน","หางดง","เชียงใหม่"
"4415","5501504","เทศบาลตำบล สันผักหวาน","หางดง","เชียงใหม่"
"4416","5501505","เทศบาลตำบล หารแก้ว","หางดง","เชียงใหม่"
"4417","5501507","เทศบาลตำบล หนองแก๋ว","หางดง","เชียงใหม่"
"4418","5501508","เทศบาลตำบล หนองควาย","หางดง","เชียงใหม่"
"4419","5501509","เทศบาลตำบล แม่ท่าช้าง","หางดง","เชียงใหม่"
"4420","5501510","เทศบาลตำบล น้ำแพร่พัฒนา","หางดง","เชียงใหม่"
"4421","5501511","เทศบาลตำบล บ้านปง","หางดง","เชียงใหม่"
"4422","6501506","องค์การบริหารส่วนตำบล ขุนคง","หางดง","เชียงใหม่"
"4423","6501512","องค์การบริหารส่วนตำบล สบแม่ข่า","หางดง","เชียงใหม่"
"4424","5501601","เทศบาลตำบล ท่าข้าม","ฮอด","เชียงใหม่"
"4425","5501602","เทศบาลตำบล บ่อหลวง","ฮอด","เชียงใหม่"
"4426","5501603","เทศบาลตำบล บ้านตาล","ฮอด","เชียงใหม่"
"4427","6501604","องค์การบริหารส่วนตำบล นาคอเรือ","ฮอด","เชียงใหม่"
"4428","6501605","องค์การบริหารส่วนตำบล บ่อสลี","ฮอด","เชียงใหม่"
"4429","6501606","องค์การบริหารส่วนตำบล หางดง","ฮอด","เชียงใหม่"
"4430","6501607","องค์การบริหารส่วนตำบล ฮอด","ฮอด","เชียงใหม่"
"4431","5501701","เทศบาลตำบล ท่าเดื่อ-มืดกา","ดอยเต่า","เชียงใหม่"
"4432","6501702","องค์การบริหารส่วนตำบล ดอยเต่า","ดอยเต่า","เชียงใหม่"
"4433","6501703","องค์การบริหารส่วนตำบล ท่าเดื่อ","ดอยเต่า","เชียงใหม่"
"4434","6501704","องค์การบริหารส่วนตำบล บงตัน","ดอยเต่า","เชียงใหม่"
"4435","6501705","องค์การบริหารส่วนตำบล บ้านแอ่น","ดอยเต่า","เชียงใหม่"
"4436","6501706","องค์การบริหารส่วนตำบล โปงทุ่ง","ดอยเต่า","เชียงใหม่"
"4437","5501801","เทศบาลตำบล อมก๋อย","อมก๋อย","เชียงใหม่"
"4438","6501802","องค์การบริหารส่วนตำบล ยางเปียง","อมก๋อย","เชียงใหม่"
"4439","6501803","องค์การบริหารส่วนตำบล สบโขง","อมก๋อย","เชียงใหม่"
"4440","6501804","องค์การบริหารส่วนตำบล นาเกียน","อมก๋อย","เชียงใหม่"
"4441","6501805","องค์การบริหารส่วนตำบล ม่อนจอง","อมก๋อย","เชียงใหม่"
"4442","6501806","องค์การบริหารส่วนตำบล แม่ตื่น","อมก๋อย","เชียงใหม่"
"4443","6501807","องค์การบริหารส่วนตำบล อมก๋อย","อมก๋อย","เชียงใหม่"
"4444","5501901","เทศบาลตำบล ยางเนิ้ง","สารภี","เชียงใหม่"
"4445","5501902","เทศบาลตำบล หนองผึ้ง","สารภี","เชียงใหม่"
"4446","5501903","เทศบาลตำบล สารภี","สารภี","เชียงใหม่"
"4447","5501904","เทศบาลตำบล ชมภู","สารภี","เชียงใหม่"
"4448","5501905","เทศบาลตำบล ไชยสถาน","สารภี","เชียงใหม่"
"4449","5501906","เทศบาลตำบล ขัวมุง","สารภี","เชียงใหม่"
"4450","5501907","เทศบาลตำบล ดอนแก้ว","สารภี","เชียงใหม่"
"4451","5501908","เทศบาลตำบล ท่ากว้าง","สารภี","เชียงใหม่"
"4452","5501909","เทศบาลตำบล ท่าวังตาล","สารภี","เชียงใหม่"
"4453","5501910","เทศบาลตำบล หนองแฝก","สารภี","เชียงใหม่"
"4454","5501911","เทศบาลตำบล สันทรายมหาวงศ์","สารภี","เชียงใหม่"
"4455","5501912","เทศบาลตำบล ป่าบง","สารภี","เชียงใหม่"
"4456","5502003","เทศบาลตำบล แสนไห","เวียงแหง","เชียงใหม่"
"4457","6502001","องค์การบริหารส่วนตำบล เมืองแหง","เวียงแหง","เชียงใหม่"
"4458","6502002","องค์การบริหารส่วนตำบล เปียงหลวง","เวียงแหง","เชียงใหม่"
"4459","5502101","เทศบาลตำบล ไชยปราการ","ไชยปราการ","เชียงใหม่"
"4460","5502102","เทศบาลตำบล หนองบัว","ไชยปราการ","เชียงใหม่"
"4461","6502103","องค์การบริหารส่วนตำบล แม่ทะลบ","ไชยปราการ","เชียงใหม่"
"4462","6502104","องค์การบริหารส่วนตำบล ศรีดงเย็น","ไชยปราการ","เชียงใหม่"
"4463","5502201","เทศบาลตำบล แม่วาง","แม่วาง","เชียงใหม่"
"4464","6502202","องค์การบริหารส่วนตำบล ดอนเปา","แม่วาง","เชียงใหม่"
"4465","6502203","องค์การบริหารส่วนตำบล บ้านกาด","แม่วาง","เชียงใหม่"
"4466","6502204","องค์การบริหารส่วนตำบล แม่วิน","แม่วาง","เชียงใหม่"
"4467","6502205","องค์การบริหารส่วนตำบล ทุ่งปี้","แม่วาง","เชียงใหม่"
"4468","6502206","องค์การบริหารส่วนตำบล ทุ่งรวงทอง","แม่วาง","เชียงใหม่"
"4469","6502301","องค์การบริหารส่วนตำบล บ้านสหกรณ์","แม่ออน","เชียงใหม่"
"4470","6502302","องค์การบริหารส่วนตำบล ทาเหนือ","แม่ออน","เชียงใหม่"
"4471","6502303","องค์การบริหารส่วนตำบล แม่ทา","แม่ออน","เชียงใหม่"
"4472","6502304","องค์การบริหารส่วนตำบล ห้วยแก้ว","แม่ออน","เชียงใหม่"
"4473","6502305","องค์การบริหารส่วนตำบล ออนกลาง","แม่ออน","เชียงใหม่"
"4474","6502306","องค์การบริหารส่วนตำบล ออนเหนือ","แม่ออน","เชียงใหม่"
"4475","5502401","เทศบาลตำบล ยางคราม","ดอยหล่อ","เชียงใหม่"
"4476","5502402","เทศบาลตำบล สองแคว","ดอยหล่อ","เชียงใหม่"
"4477","5502403","เทศบาลตำบล สันติสุข","ดอยหล่อ","เชียงใหม่"
"4478","6502404","องค์การบริหารส่วนตำบล ดอยหล่อ","ดอยหล่อ","เชียงใหม่"
"4479","6502501","องค์การบริหารส่วนตำบล แจ่มหลวง","กัลยาณิวัฒนา","เชียงใหม่"
"4480","6502502","องค์การบริหารส่วนตำบล บ้านจันทร์","กัลยาณิวัฒนา","เชียงใหม่"
"4481","6502503","องค์การบริหารส่วนตำบล แม่แดด","กัลยาณิวัฒนา","เชียงใหม่"
"4482","2510101","องค์การบริหารส่วนจังหวัด ลำพูน","เมืองลำพูน","ลำพูน"
"4483","4510102","เทศบาลเมือง ลำพูน","เมืองลำพูน","ลำพูน"
"4484","5510103","เทศบาลตำบล บ้านแป้น","เมืองลำพูน","ลำพูน"
"4485","5510104","เทศบาลตำบล ริมปิง","เมืองลำพูน","ลำพูน"
"4486","5510105","เทศบาลตำบล อุโมงค์","เมืองลำพูน","ลำพูน"
"4487","5510106","เทศบาลตำบล มะเขือแจ้","เมืองลำพูน","ลำพูน"
"4488","5510107","เทศบาลตำบล เหมืองง่า","เมืองลำพูน","ลำพูน"
"4489","5510108","เทศบาลตำบล เวียงยอง","เมืองลำพูน","ลำพูน"
"4490","5510109","เทศบาลตำบล บ้านกลาง","เมืองลำพูน","ลำพูน"
"4491","5510110","เทศบาลตำบล เหมืองจี้","เมืองลำพูน","ลำพูน"
"4492","5510111","เทศบาลตำบล ต้นธง","เมืองลำพูน","ลำพูน"
"4493","5510112","เทศบาลตำบล ประตูป่า","เมืองลำพูน","ลำพูน"
"4494","5510113","เทศบาลตำบล หนองช้างคืน","เมืองลำพูน","ลำพูน"
"4495","5510114","เทศบาลตำบล ท่าเชียงทอง","เมืองลำพูน","ลำพูน"
"4496","5510115","เทศบาลตำบล ป่าสัก","เมืองลำพูน","ลำพูน"
"4497","5510117","เทศบาลตำบล ศรีบัวบาน","เมืองลำพูน","ลำพูน"
"4498","6510116","องค์การบริหารส่วนตำบล หนองหนาม","เมืองลำพูน","ลำพูน"
"4499","5510201","เทศบาลตำบล ทากาศ","แม่ทา","ลำพูน"
"4500","5510202","เทศบาลตำบล ทาสบเส้า","แม่ทา","ลำพูน"
"4501","5510203","เทศบาลตำบล ทาสบชัย","แม่ทา","ลำพูน"
"4502","5510204","เทศบาลตำบล ทาขุมเงิน","แม่ทา","ลำพูน"
"4503","5510205","เทศบาลตำบล ทาทุ่งหลวง","แม่ทา","ลำพูน"
"4504","5510206","เทศบาลตำบล ทาปลาดุก","แม่ทา","ลำพูน"
"4505","5510207","เทศบาลตำบล ทากาศเหนือ","แม่ทา","ลำพูน"
"4506","6510208","องค์การบริหารส่วนตำบล ทาแม่ลอบ","แม่ทา","ลำพูน"
"4507","5510301","เทศบาลตำบล บ้านโฮ่ง","บ้านโฮ่ง","ลำพูน"
"4508","5510302","เทศบาลตำบล ศรีเตี้ย","บ้านโฮ่ง","ลำพูน"
"4509","6510303","องค์การบริหารส่วนตำบล เวียงกานต์","บ้านโฮ่ง","ลำพูน"
"4510","6510304","องค์การบริหารส่วนตำบล หนองปลาสะวาย","บ้านโฮ่ง","ลำพูน"
"4511","6510305","องค์การบริหารส่วนตำบล เหล่ายาว","บ้านโฮ่ง","ลำพูน"
"4512","6510306","องค์การบริหารส่วนตำบล ป่าพลู","บ้านโฮ่ง","ลำพูน"
"4513","5510401","เทศบาลตำบล แม่ตืน","ลี้","ลำพูน"
"4514","5510402","เทศบาลตำบล วังดิน","ลี้","ลำพูน"
"4515","5510403","เทศบาลตำบล ดงดำ","ลี้","ลำพูน"
"4516","5510404","เทศบาลตำบล ลี้","ลี้","ลำพูน"
"4517","5510405","เทศบาลตำบล ศรีวิชัย","ลี้","ลำพูน"
"4518","5510407","เทศบาลตำบล ป่าไผ่","ลี้","ลำพูน"
"4519","5510409","เทศบาลตำบล ก้อ","ลี้","ลำพูน"
"4520","6510406","องค์การบริหารส่วนตำบล นาทราย","ลี้","ลำพูน"
"4521","6510408","องค์การบริหารส่วนตำบล เวียงแก้ว","ลี้","ลำพูน"
"4522","6510410","องค์การบริหารส่วนตำบล แม่ลาน","ลี้","ลำพูน"
"4523","5510501","เทศบาลตำบล ทุ่งหัวช้าง","ทุ่งหัวช้าง","ลำพูน"
"4524","6510502","องค์การบริหารส่วนตำบล ทุ่งหัวช้าง","ทุ่งหัวช้าง","ลำพูน"
"4525","6510503","องค์การบริหารส่วนตำบล ตะเคียนปม","ทุ่งหัวช้าง","ลำพูน"
"4526","6510504","องค์การบริหารส่วนตำบล บ้านปวง","ทุ่งหัวช้าง","ลำพูน"
"4527","5510601","เทศบาลตำบล แม่แรง","ป่าซาง","ลำพูน"
"4528","5510602","เทศบาลตำบล ป่าซาง","ป่าซาง","ลำพูน"
"4529","5510603","เทศบาลตำบล ม่วงน้อย","ป่าซาง","ลำพูน"
"4530","5510604","เทศบาลตำบล มะกอก","ป่าซาง","ลำพูน"
"4531","6510605","องค์การบริหารส่วนตำบล ท่าตุ้ม","ป่าซาง","ลำพูน"
"4532","6510606","องค์การบริหารส่วนตำบล นครเจดีย์","ป่าซาง","ลำพูน"
"4533","6510607","องค์การบริหารส่วนตำบล น้ำดิบ","ป่าซาง","ลำพูน"
"4534","6510608","องค์การบริหารส่วนตำบล บ้านเรือน","ป่าซาง","ลำพูน"
"4535","5510701","เทศบาลตำบล บ้านธิ","บ้านธิ","ลำพูน"
"4536","6510702","องค์การบริหารส่วนตำบล ห้วยยาบ","บ้านธิ","ลำพูน"
"4537","5510801","เทศบาลตำบล วังผาง","เวียงหนองล่อง","ลำพูน"
"4538","5510802","เทศบาลตำบล หนองล่อง","เวียงหนองล่อง","ลำพูน"
"4539","5510803","เทศบาลตำบล หนองยวง","เวียงหนองล่อง","ลำพูน"
"4540","2520101","องค์การบริหารส่วนจังหวัด ลำปาง","เมืองลำปาง","ลำปาง"
"4541","3520102","เทศบาลนคร ลำปาง","เมืองลำปาง","ลำปาง"
"4542","4520103","เทศบาลเมือง เขลางค์นคร","เมืองลำปาง","ลำปาง"
"4543","4520106","เทศบาลเมือง พิชัย","เมืองลำปาง","ลำปาง"
"4544","5520104","เทศบาลตำบล ต้นธงชัย","เมืองลำปาง","ลำปาง"
"4545","5520105","เทศบาลตำบล บ่อแฮ้ว","เมืองลำปาง","ลำปาง"
"4546","6520107","องค์การบริหารส่วนตำบล บ่อแฮ้ว","เมืองลำปาง","ลำปาง"
"4547","6520108","องค์การบริหารส่วนตำบล บ้านเอื้อม","เมืองลำปาง","ลำปาง"
"4548","6520109","องค์การบริหารส่วนตำบล พิชัย","เมืองลำปาง","ลำปาง"
"4549","6520110","องค์การบริหารส่วนตำบล ทุ่งฝาย","เมืองลำปาง","ลำปาง"
"4550","6520111","องค์การบริหารส่วนตำบล นิคมพัฒนา","เมืองลำปาง","ลำปาง"
"4551","6520112","องค์การบริหารส่วนตำบล บ้านค่า","เมืองลำปาง","ลำปาง"
"4552","6520113","องค์การบริหารส่วนตำบล บ้านเป้า","เมืองลำปาง","ลำปาง"
"4553","6520114","องค์การบริหารส่วนตำบล บ้านแลง","เมืองลำปาง","ลำปาง"
"4554","6520115","องค์การบริหารส่วนตำบล บ้านเสด็จ","เมืองลำปาง","ลำปาง"
"4555","6520116","องค์การบริหารส่วนตำบล บุญนาคพัฒนา","เมืองลำปาง","ลำปาง"
"4556","5520201","เทศบาลตำบล แม่เมาะ","แม่เมาะ","ลำปาง"
"4557","6520202","องค์การบริหารส่วนตำบล นาสัก","แม่เมาะ","ลำปาง"
"4558","6520203","องค์การบริหารส่วนตำบล สบป้าด","แม่เมาะ","ลำปาง"
"4559","6520204","องค์การบริหารส่วนตำบล จางเหนือ","แม่เมาะ","ลำปาง"
"4560","6520205","องค์การบริหารส่วนตำบล บ้านดง","แม่เมาะ","ลำปาง"
"4561","5520301","เทศบาลตำบล วังพร้าว","เกาะคา","ลำปาง"
"4562","5520302","เทศบาลตำบล เกาะคา","เกาะคา","ลำปาง"
